label,recompute_budget,compaction_interval,update_tokens,update_usd,update_wall_ms,communities_recomputed,dirty_fraction_after,mean_stale_touched,stale_answer_rate,deletion_f1,new_info_recall,base_recall,survivor_recall,entities,relations
evolving/budget=0,0,900,5497,0.07253,19.49,0,0.7143,2.2353,0.1667,0.173,0.8,0.8333,1.0,18,37
evolving/budget=1,1,900,8601,0.096856,21.54,6,0.4286,1.4118,0.0,0.1667,0.8,0.8333,1.0,18,37
evolving/budget=2,2,900,10773,0.113618,23.02,12,0.2857,0.8235,0.0,0.1667,0.8,0.8333,1.0,18,37
evolving/budget=4,4,900,14986,0.146307,25.54,19,0.0,0.0,0.0,0.1667,0.8,0.8333,1.0,18,37
evolving/budget=8,8,900,14986,0.146307,24.93,19,0.0,0.0,0.0,0.1667,0.8,0.8333,1.0,18,37
evolving/drain,,900,14986,0.146307,25.62,19,0.0,0.0,0.0,0.1667,0.8,0.8333,1.0,18,37
full-reindex,,,75059,0.865908,155.33,56,0.0,0.0,0.0,0.1667,0.8,0.8333,1.0,18,37
